,,대리상 명칭,  외상매출금  ,    선수금    ,,,11070107,21050103,,,,
8000059,杭州优溜网络技术有限公司,"Hangzhou Youliu Network Technology Co., Ltd.","156,658"," 653,396 ",,,,,,,,
8000155,北京蓝梦宇其贸易有限公司,"Beijing Lanmeng Yuqi Trading Co., Ltd.","53,474"," 581,656 ",,,,,,,,
8000189,万辰嘉运（北京）服饰有限公司,"Wanchen Jiayun (Beijing) Apparel Co., Ltd.",0, - ,,,,,,,,
8000277,长春恩禾品牌管理有限公司,"Changchun Enhe Brand Management Co., Ltd.","-152,554", - ,,,,,,,,
8000280,江苏幸运叶子数字科技有限公司,"Jiangsu Lucky Leaf Digital Technology Co., Ltd.","-298,391"," 606,224 ",,,,,,,,
8000014,依梵(上海)品牌管理有限公司,"Yifan (Shanghai) Brand Management Co., Ltd.","6,432,949"," 18,870,456 ",,,,,,,,
8000187,江苏苏豪国际集团股份有限公司,"Jiangsu Soho International Group Co., Ltd.","29,762"," 7,888,859 ",,,,,,,,
8100731,天津乐城置业有限公司,"Tianjin Lecheng Real Estate Co., Ltd.",0, - ,,,,,,,,
8000443,上海羽织棠贸易服务有限公司,"Shanghai Yuzhitang Trading Service Co., Ltd.",0," 16,194 ",,,,,,,,
8000057,山东青岛代购,Shandong Qingdao Purchasing Agent,0, 100 ,,,,,,,,
8000452,内蒙古羲骋商贸有限责任公司,"
Inner Mongolia Xicheng Trade Co., Ltd.","2,440,177"," 6,665,005 ",,,,,,,,
8100845,瑞辰加盈（天津）商贸有限公司,"
Ruichen Jiaying (Tianjin) Trading Co., Ltd.",," 264,748 ",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
